,longitude,latitude,speed_knots
1,-60.700001,13.4,50
2,-62,13.8,50
3,-63.099998,13.9,55
4,-64.699997,14,55
5,-66.300003,14.2,60
6,-67.800003,14.1,65
7,-68.800003,14.1,70
8,-69.300003,14.1,85
9,-69.900002,14,85
10,-70.800003,13.7,100
11,-71.599998,13.5,120
12,-72.300003,13.3,140
13,-72.800003,13.3,135
14,-73.400002,13.4,125
15,-73.400002,13.5,130
16,-73.599998,13.8,130
17,-74.099998,13.9,130
18,-74.599998,14,120
19,-74.800003,14.6,125
20,-75,14.7,125
21,-74.900002,15.2,115
22,-75,15.6,120
23,-74.699997,16.299999,120
24,-74.599998,16.9,125
25,-74.400002,17.799999,125
26,-74.300003,18.9,125
27,-74.300003,19.799999,120
28,-74.400002,20.4,115
29,-74.599998,21.1,110
30,-75.199997,21.799999,105
31,-75.699997,22.5,105
32,-76.400002,23.4,100
33,-77.099998,24.200001,110
34,-77.800003,25.1,120
35,-78.599998,26.200001,120
36,-79.199997,27.1,115
37,-80,28.200001,105
38,-80.5,29.4,105
39,-80.699997,30.200001,95
40,-80.5,31.200001,90
41,-80.5,32,90
42,-79.400002,33,65
43,-78.199997,33.799999,65
44,-76.5,34.099998,65
45,-75.099998,34.900002,65
46,-73.699997,35.200001,65
47,-72,35.400002,65